year	season	winners	nation1	score	special	runnersUp	nation2	venue	attendance
1956	1955–56	Real Madrid	Spain	4–3		Stade de Reims	France	Parc des Princes, Paris	38239
1957	1956–57	Real Madrid	Spain	2–0		Fiorentina	Italy	Santiago Bernabéu Stadium, Madrid	124000
1958	1957–58	Real Madrid	Spain	3–2	ET	Milan	Italy	Heysel Stadium, Brussels	67000
1959	1958–59	Real Madrid	Spain	2–0		Stade de Reims	France	Neckarstadion, Stuttgart	72000
1960	1959–60	Real Madrid	Spain	7–3		Eintracht Frankfurt	West Germany	Hampden Park, Glasgow	127621
1961	1960–61	Benfica	Portugal	3–2		Barcelona	Spain	Wankdorf Stadium, Bern	26732
1962	1961–62	Benfica	Portugal	5–3		Real Madrid	Spain	Olympisch Stadion,Amsterdam	61257
1963	1962–63	Milan	Italy	2–1		Benfica	Portugal	Wembley Stadium,London	45715
1964	1963–64	Internazionale	Italy	3–1		Real Madrid	Spain	Prater Stadium, Vienna	71333
1965	1964–65	Internazionale	Italy	1–0		Benfica	Portugal	San Siro, Milan	89000
1966	1965–66	Real Madrid	Spain	2–1		Partizan	Yugoslavia	Heysel Stadium, Brussels	46745
1967	1966–67	Celtic	Scotland	2–1		Internazionale	Italy	Estádio Nacional, Lisbon	45000
1968	1967–68	Manchester United	England	4–1	ET	Benfica	Portugal	Wembley Stadium,London	92225
1969	1968–69	Milan	Italy	4–1		Ajax	Netherlands	Santiago Bernabéu Stadium, Madrid	31782
1970	1969–70	Feyenoord	Netherlands	2–1	ET	Celtic	Scotland	San Siro, Milan	53187
1971	1970–71	Ajax	Netherlands	2–0		Panathinaikos	Greece	Wembley Stadium,London	83179
1972	1971–72	Ajax	Netherlands	2–0		Internazionale	Italy	De Kuip, Rotterdam	61354
1973	1972–73	Ajax	Netherlands	1–0		Juventus	Italy	Red Star Stadium,Belgrade	89484
1974	1973–74	Bayern Munich	West Germany	4-0	Replay	Atlético Madrid	Spain	Heysel Stadium, Brussels	72047
1975	1974–75	Bayern Munich	West Germany	2–0		Leeds United	England	Parc des Princes, Paris	48374
1976	1975–76	Bayern Munich	West Germany	1–0		Saint-Étienne	France	Hampden Park, Glasgow	54864
1977	1976–77	Liverpool	England	3–1		Borussia Mönchengladbach	West Germany	Stadio Olimpico, Rome	52078
1978	1977–78	Liverpool	England	1–0		Club Brugge	Belgium	Wembley Stadium,London	92500
1979	1978–79	Nottingham Forest	England	1–0		Malmö FF	Sweden	Olympiastadion, Munich	57500
1980	1979–80	Nottingham Forest	England	1–0		Hamburg	West Germany	Santiago Bernabéu Stadium, Madrid	51000
1981	1980–81	Liverpool	England	1–0		Real Madrid	Spain	Parc des Princes, Paris	48360
1982	1981–82	Aston Villa	England	1–0		Bayern Munich	West Germany	De Kuip, Rotterdam	46000
1983	1982–83	Hamburg	West Germany	1–0		Juventus	Italy	Olympic Stadium, Athens	73500
1984	1983–84	Liverpool	England	1-1*	PK	Roma	Italy	Stadio Olimpico, Rome	69693
1985	1984–85	Juventus	Italy	1–0		Liverpool	England	Heysel Stadium, Brussels	58000
1986	1985–86	Steaua București	Romania	0-0*	PK	Barcelona	Spain	Estadio Ramón Sánchez Pizjuán, Seville	70000
1987	1986–87	Porto	Portugal	2–1		Bayern Munich	West Germany	Prater Stadium, Vienna	57500
1988	1987–88	PSV Eindhoven	Netherlands	0-0*	PK	Benfica	Portugal	Neckarstadion, Stuttgart	68000
1989	1988–89	Milan	Italy	4–0		Steaua București	Romania	Camp Nou, Barcelona	97000
1990	1989–90	Milan	Italy	1–0		Benfica	Portugal	Prater Stadium, Vienna	57558
1991	1990–91	Red Star Belgrade	Yugoslavia	0-0*	PK	Marseille	France	Stadio San Nicola, Bari	56000
1992	1991–92	Barcelona	Spain	1–0	ET	Sampdoria	Italy	Wembley Stadium,London	70827
1993	1992–93	Marseille	France	1–0		Milan	Italy	Olympiastadion, Munich	64400
1994	1993–94	Milan	Italy	4–0		Barcelona	Spain	Olympic Stadium, Athens	70000
1995	1994–95	Ajax	Netherlands	1–0		Milan	Italy	Ernst-Happel-Stadion,Vienna	49730
1996	1995–96	Juventus	Italy	1-1*	PK	Ajax	Netherlands	Stadio Olimpico, Rome	70000
1997	1996–97	Borussia Dortmund	Germany	3–1		Juventus	Italy	Olympiastadion, Munich	59000
1998	1997–98	Real Madrid	Spain	1–0		Juventus	Italy	Amsterdam Arena,Amsterdam	48500
1999	1998–99	Manchester United	England	2–1		Bayern Munich	Germany	Camp Nou, Barcelona	90245
2000	1999–2000	Real Madrid	Spain	3–0		Valencia	Spain	Stade de France, Saint-Denis	80000
2001	2000–01	Bayern Munich	Germany	1-1*	PK	Valencia	Spain	San Siro, Milan	71500
2002	2001–02	Real Madrid	Spain	2–1		Bayer Leverkusen	Germany	Hampden Park, Glasgow	50499
2003	2002–03	Milan	Italy	0-0*	PK	Juventus	Italy	Old Trafford, Manchester	62315
2004	2003–04	Porto	Portugal	3–0		AS Monaco	France	Arena AufSchalke,Gelsenkirchen	53053
2005	2004–05	Liverpool	England	3-3*	PK	Milan	Italy	Atatürk Olympic Stadium,Istanbul	69000
2006	2005–06	Barcelona	Spain	2–1		Arsenal	England	Stade de France, Saint-Denis	79610
2007	2006–07	Milan	Italy	2–1		Liverpool	England	Olympic Stadium, Athens	63000
2008	2007–08	Manchester United	England	1-1*	PK	Chelsea	England	Luzhniki Stadium,Moscow	67310
2009	2008–09	Barcelona	Spain	2–0		Manchester United	England	Stadio Olimpico, Rome	62467
2010	2009–10	Internazionale	Italy	2–0		Bayern Munich	Germany	Santiago Bernabéu Stadium, Madrid	73490
2011	2010–11	Barcelona	Spain	3–1		Manchester United	England	Wembley Stadium,London	87695
2012	2011–12	Chelsea	England	1-1*	PK	Bayern Munich	Germany	Allianz Arena, Munich	62500
